TARIH;URUN_ID;URUN_GRUBU;SATIS_ADET;STOK_DISI_SURE;
1.01.2017;SKU0016;8; 2.784 ;NULL;
2.01.2017;SKU0016;8; 10.484 ;NULL;
3.01.2017;SKU0016;8; 8.934 ;NULL;
4.01.2017;SKU0016;8; 10.185 ;NULL;
5.01.2017;SKU0016;8; 13.850 ;NULL;
6.01.2017;SKU0016;8; 8.828 ;NULL;
7.01.2017;SKU0016;8; 4.894 ;NULL;
8.01.2017;SKU0016;8; 2.066 ;NULL;
9.01.2017;SKU0016;8; 13.833 ;NULL;
10.01.2017;SKU0016;8; 9.551 ;NULL;
11.01.2017;SKU0016;8; 8.352 ;NULL;
12.01.2017;SKU0016;8; 4.899 ;NULL;
13.01.2017;SKU0016;8; 11.086 ;NULL;
14.01.2017;SKU0016;8; 5.225 ;NULL;
15.01.2017;SKU0016;8; 7.871 ;NULL;
16.01.2017;SKU0016;8; 17.700 ;9;
17.01.2017;SKU0016;8; 17.591 ;NULL;
18.01.2017;SKU0016;8; 19.634 ;NULL;
19.01.2017;SKU0016;8; 15.196 ;NULL;
20.01.2017;SKU0016;8; 17.241 ;NULL;
21.01.2017;SKU0016;8; 9.864 ;NULL;
22.01.2017;SKU0016;8; 3.906 ;NULL;
23.01.2017;SKU0016;8; 19.167 ;61;
24.01.2017;SKU0016;8; 11.586 ;NULL;
25.01.2017;SKU0016;8; 15.251 ;NULL;
26.01.2017;SKU0016;8; 20.444 ;NULL;
27.01.2017;SKU0016;8; 11.003 ;NULL;
28.01.2017;SKU0016;8; 4.335 ;NULL;
29.01.2017;SKU0016;8; 1.078 ;NULL;
30.01.2017;SKU0016;8; 11.793 ;NULL;
31.01.2017;SKU0016;8; 6.363 ;NULL;
1.02.2017;SKU0016;8; 12.618 ;NULL;
2.02.2017;SKU0016;8; 12.663 ;NULL;
3.02.2017;SKU0016;8; 18.743 ;NULL;
4.02.2017;SKU0016;8; 7.320 ;NULL;
5.02.2017;SKU0016;8; 6.479 ;NULL;
6.02.2017;SKU0016;8; 16.619 ;NULL;
7.02.2017;SKU0016;8; 13.514 ;NULL;
8.02.2017;SKU0016;8; 8.848 ;NULL;
9.02.2017;SKU0016;8; 7.852 ;NULL;
10.02.2017;SKU0016;8; 6.984 ;NULL;
11.02.2017;SKU0016;8; 3.732 ;NULL;
12.02.2017;SKU0016;8; 2.735 ;NULL;
13.02.2017;SKU0016;8; 12.502 ;NULL;
14.02.2017;SKU0016;8; 4.468 ;NULL;
15.02.2017;SKU0016;8; 17.192 ;NULL;
16.02.2017;SKU0016;8; 24.092 ;NULL;
17.02.2017;SKU0016;8; 22.977 ;56;
18.02.2017;SKU0016;8; 7.552 ;39;
19.02.2017;SKU0016;8; 2.938 ;NULL;
20.02.2017;SKU0016;8; 16.233 ;NULL;
21.02.2017;SKU0016;8; 13.697 ;NULL;
22.02.2017;SKU0016;8; 14.268 ;NULL;
23.02.2017;SKU0016;8; 10.278 ;NULL;
24.02.2017;SKU0016;8; 16.085 ;NULL;
25.02.2017;SKU0016;8; 11.289 ;NULL;
26.02.2017;SKU0016;8; 3.472 ;NULL;
27.02.2017;SKU0016;8; 17.990 ;NULL;
28.02.2017;SKU0016;8; 11.414 ;NULL;
1.03.2017;SKU0016;8; 14.086 ;NULL;
2.03.2017;SKU0016;8; 9.892 ;NULL;
3.03.2017;SKU0016;8; 11.108 ;NULL;
4.03.2017;SKU0016;8; 8.842 ;NULL;
5.03.2017;SKU0016;8; 5.894 ;NULL;
6.03.2017;SKU0016;8; 9.962 ;NULL;
7.03.2017;SKU0016;8; 6.474 ;NULL;
8.03.2017;SKU0016;8; 6.590 ;NULL;
9.03.2017;SKU0016;8; 5.849 ;NULL;
10.03.2017;SKU0016;8; 9.579 ;NULL;
11.03.2017;SKU0016;8; 5.704 ;5;
12.03.2017;SKU0016;8; 1.916 ;NULL;
13.03.2017;SKU0016;8; 9.634 ;NULL;
14.03.2017;SKU0016;8; 12.720 ;2;
15.03.2017;SKU0016;8; 21.045 ;NULL;
16.03.2017;SKU0016;8; 10.581 ;NULL;
17.03.2017;SKU0016;8; 17.543 ;NULL;
18.03.2017;SKU0016;8; 9.040 ;NULL;
19.03.2017;SKU0016;8; 3.492 ;NULL;
20.03.2017;SKU0016;8; 16.888 ;NULL;
21.03.2017;SKU0016;8; 15.665 ;NULL;
22.03.2017;SKU0016;8; 15.483 ;NULL;
23.03.2017;SKU0016;8; 13.733 ;NULL;
24.03.2017;SKU0016;8; 18.587 ;NULL;
25.03.2017;SKU0016;8; 13.080 ;NULL;
26.03.2017;SKU0016;8; 2.582 ;NULL;
27.03.2017;SKU0016;8; 14.079 ;NULL;
28.03.2017;SKU0016;8; 9.648 ;NULL;
29.03.2017;SKU0016;8; 5.729 ;NULL;
30.03.2017;SKU0016;8; 4.085 ;NULL;
31.03.2017;SKU0016;8; 7.847 ;NULL;
1.04.2017;SKU0016;8; 7.851 ;NULL;
2.04.2017;SKU0016;8; 3.393 ;NULL;
3.04.2017;SKU0016;8; 11.709 ;NULL;
4.04.2017;SKU0016;8; 7.638 ;NULL;
5.04.2017;SKU0016;8; 17.885 ;NULL;
6.04.2017;SKU0016;8; 11.811 ;NULL;
7.04.2017;SKU0016;8; 10.382 ;NULL;
8.04.2017;SKU0016;8; 4.356 ;NULL;
9.04.2017;SKU0016;8; 1.552 ;NULL;
10.04.2017;SKU0016;8; 15.225 ;NULL;
11.04.2017;SKU0016;8; 11.645 ;NULL;
12.04.2017;SKU0016;8; 6.250 ;NULL;
13.04.2017;SKU0016;8; 9.338 ;NULL;
14.04.2017;SKU0016;8; 7.725 ;NULL;
15.04.2017;SKU0016;8; 23.535 ;NULL;
16.04.2017;SKU0016;8; 5.255 ;NULL;
17.04.2017;SKU0016;8; 23.258 ;NULL;
18.04.2017;SKU0016;8; 24.382 ;NULL;
19.04.2017;SKU0016;8; 14.906 ;NULL;
20.04.2017;SKU0016;8; 13.298 ;NULL;
21.04.2017;SKU0016;8; 20.624 ;NULL;
22.04.2017;SKU0016;8; 9.274 ;NULL;
23.04.2017;SKU0016;8; 2.682 ;NULL;
24.04.2017;SKU0016;8; 16.857 ;NULL;
25.04.2017;SKU0016;8; 19.547 ;NULL;
26.04.2017;SKU0016;8; 14.759 ;NULL;
27.04.2017;SKU0016;8; 7.572 ;NULL;
28.04.2017;SKU0016;8; 8.229 ;NULL;
29.04.2017;SKU0016;8; 4.233 ;NULL;
30.04.2017;SKU0016;8; 822 ;NULL;
1.05.2017;SKU0016;8; 6.243 ;NULL;
2.05.2017;SKU0016;8; 13.528 ;NULL;
3.05.2017;SKU0016;8; 11.780 ;NULL;
4.05.2017;SKU0016;8; 9.532 ;NULL;
5.05.2017;SKU0016;8; 11.350 ;NULL;
6.05.2017;SKU0016;8; 4.850 ;NULL;
7.05.2017;SKU0016;8; 1.342 ;NULL;
8.05.2017;SKU0016;8; 12.107 ;NULL;
9.05.2017;SKU0016;8; 6.543 ;NULL;
10.05.2017;SKU0016;8; 5.986 ;NULL;
11.05.2017;SKU0016;8; 5.183 ;NULL;
12.05.2017;SKU0016;8; 4.984 ;NULL;
13.05.2017;SKU0016;8; 2.919 ;NULL;
14.05.2017;SKU0016;8; 1.622 ;NULL;
15.05.2017;SKU0016;8; 17.921 ;NULL;
16.05.2017;SKU0016;8; 26.640 ;NULL;
17.05.2017;SKU0016;8; 19.395 ;NULL;
18.05.2017;SKU0016;8; 18.269 ;NULL;
19.05.2017;SKU0016;8; 10.311 ;NULL;
20.05.2017;SKU0016;8; 7.384 ;24;
21.05.2017;SKU0016;8; 5.480 ;NULL;
22.05.2017;SKU0016;8; 22.331 ;NULL;
23.05.2017;SKU0016;8; 16.462 ;NULL;
24.05.2017;SKU0016;8; 10.286 ;NULL;
25.05.2017;SKU0016;8; 16.156 ;NULL;
26.05.2017;SKU0016;8; 13.520 ;NULL;
27.05.2017;SKU0016;8; 4.313 ;NULL;
28.05.2017;SKU0016;8; 1.785 ;NULL;
29.05.2017;SKU0016;8; 8.921 ;NULL;
30.05.2017;SKU0016;8; 5.622 ;NULL;
31.05.2017;SKU0016;8; 8.319 ;NULL;
1.06.2017;SKU0016;8; 11.703 ;NULL;
2.06.2017;SKU0016;8; 8.712 ;NULL;
3.06.2017;SKU0016;8; 6.524 ;NULL;
4.06.2017;SKU0016;8; 3.574 ;NULL;
5.06.2017;SKU0016;8; 14.187 ;NULL;
6.06.2017;SKU0016;8; 5.374 ;NULL;
7.06.2017;SKU0016;8; 6.980 ;NULL;
8.06.2017;SKU0016;8; 7.577 ;NULL;
9.06.2017;SKU0016;8; 9.417 ;NULL;
10.06.2017;SKU0016;8; 4.210 ;NULL;
11.06.2017;SKU0016;8; 2.158 ;NULL;
12.06.2017;SKU0016;8; 7.946 ;NULL;
13.06.2017;SKU0016;8; 9.304 ;NULL;
14.06.2017;SKU0016;8; 10.502 ;NULL;
15.06.2017;SKU0016;8; 17.961 ;NULL;
16.06.2017;SKU0016;8; 17.123 ;NULL;
17.06.2017;SKU0016;8; 11.798 ;NULL;
18.06.2017;SKU0016;8; 5.596 ;NULL;
19.06.2017;SKU0016;8; 12.764 ;NULL;
20.06.2017;SKU0016;8; 15.639 ;NULL;
21.06.2017;SKU0016;8; 24.384 ;NULL;
22.06.2017;SKU0016;8; 31.659 ;1;
23.06.2017;SKU0016;8; 36.012 ;NULL;
24.06.2017;SKU0016;8; 15.651 ;NULL;
25.06.2017;SKU0016;8; 2.033 ;NULL;
26.06.2017;SKU0016;8; 963 ;NULL;
27.06.2017;SKU0016;8; 2.679 ;NULL;
28.06.2017;SKU0016;8; 8.870 ;NULL;
29.06.2017;SKU0016;8; 5.960 ;NULL;
30.06.2017;SKU0016;8; 9.062 ;NULL;
1.07.2017;SKU0016;8; 3.406 ;NULL;
2.07.2017;SKU0016;8; 828 ;18;
3.07.2017;SKU0016;8; 9.213 ;NULL;
4.07.2017;SKU0016;8; 7.310 ;NULL;
5.07.2017;SKU0016;8; 7.522 ;NULL;
6.07.2017;SKU0016;8; 4.410 ;54;
7.07.2017;SKU0016;8; 6.668 ;NULL;
8.07.2017;SKU0016;8; 4.620 ;NULL;
9.07.2017;SKU0016;8; 2.240 ;NULL;
10.07.2017;SKU0016;8; 8.963 ;NULL;
11.07.2017;SKU0016;8; 3.644 ;NULL;
12.07.2017;SKU0016;8; 5.573 ;NULL;
13.07.2017;SKU0016;8; 2.846 ;NULL;
14.07.2017;SKU0016;8; 4.492 ;NULL;
15.07.2017;SKU0016;8; 9.418 ;NULL;
16.07.2017;SKU0016;8; 2.000 ;NULL;
17.07.2017;SKU0016;8; 23.098 ;NULL;
18.07.2017;SKU0016;8; 14.842 ;442;
19.07.2017;SKU0016;8; 15.764 ;11;
20.07.2017;SKU0016;8; 13.679 ;NULL;
21.07.2017;SKU0016;8; 13.865 ;NULL;
22.07.2017;SKU0016;8; 5.484 ;79;
23.07.2017;SKU0016;8; 4.714 ;NULL;
24.07.2017;SKU0016;8; 24.341 ;NULL;
25.07.2017;SKU0016;8; 22.796 ;NULL;
26.07.2017;SKU0016;8; 17.291 ;NULL;
27.07.2017;SKU0016;8; 9.753 ;NULL;
28.07.2017;SKU0016;8; 7.182 ;NULL;
29.07.2017;SKU0016;8; 3.502 ;NULL;
30.07.2017;SKU0016;8; 1.512 ;NULL;
31.07.2017;SKU0016;8; 7.546 ;19;
2.08.2017;SKU0016;8; 7.556 ;NULL;
3.08.2017;SKU0016;8; 9.836 ;NULL;
4.08.2017;SKU0016;8; 11.286 ;NULL;
5.08.2017;SKU0016;8; 8.685 ;NULL;
6.08.2017;SKU0016;8; 684 ;NULL;
7.08.2017;SKU0016;8; 9.143 ;NULL;
8.08.2017;SKU0016;8; 9.294 ;NULL;
9.08.2017;SKU0016;8; 6.789 ;NULL;
10.08.2017;SKU0016;8; 10.932 ;NULL;
11.08.2017;SKU0016;8; 7.727 ;18;
12.08.2017;SKU0016;8; 3.924 ;NULL;
13.08.2017;SKU0016;8; 2.810 ;NULL;
14.08.2017;SKU0016;8; 11.170 ;NULL;
15.08.2017;SKU0016;8; 18.657 ;NULL;
16.08.2017;SKU0016;8; 10.082 ;NULL;
17.08.2017;SKU0016;8; 16.336 ;NULL;
18.08.2017;SKU0016;8; 15.279 ;NULL;
19.08.2017;SKU0016;8; 7.858 ;NULL;
20.08.2017;SKU0016;8; 2.961 ;NULL;
21.08.2017;SKU0016;8; 19.691 ;NULL;
22.08.2017;SKU0016;8; 16.599 ;NULL;
23.08.2017;SKU0016;8; 19.250 ;NULL;
24.08.2017;SKU0016;8; 12.384 ;28;
25.08.2017;SKU0016;8; 28.144 ;NULL;
26.08.2017;SKU0016;8; 16.859 ;NULL;
27.08.2017;SKU0016;8; 3.809 ;NULL;
28.08.2017;SKU0016;8; 17.423 ;NULL;
29.08.2017;SKU0016;8; 25.570 ;NULL;
30.08.2017;SKU0016;8; 19.209 ;NULL;
31.08.2017;SKU0016;8; 30.861 ;NULL;
1.09.2017;SKU0016;8; 3.321 ;NULL;
2.09.2017;SKU0016;8; 1.944 ;NULL;
3.09.2017;SKU0016;8; 982 ;NULL;
4.09.2017;SKU0016;8; 1.798 ;NULL;
5.09.2017;SKU0016;8; 12.582 ;NULL;
6.09.2017;SKU0016;8; 10.162 ;NULL;
7.09.2017;SKU0016;8; 8.950 ;NULL;
8.09.2017;SKU0016;8; 9.040 ;NULL;
9.09.2017;SKU0016;8; 7.215 ;NULL;
11.09.2017;SKU0016;8; 9.015 ;NULL;
12.09.2017;SKU0016;8; 9.696 ;NULL;
13.09.2017;SKU0016;8; 5.951 ;NULL;
14.09.2017;SKU0016;8; 8.982 ;NULL;
15.09.2017;SKU0016;8; 19.792 ;NULL;
16.09.2017;SKU0016;8; 9.688 ;NULL;
17.09.2017;SKU0016;8; 5.890 ;NULL;
18.09.2017;SKU0016;8; 20.382 ;NULL;
19.09.2017;SKU0016;8; 11.321 ;NULL;
20.09.2017;SKU0016;8; 12.750 ;NULL;
21.09.2017;SKU0016;8; 14.471 ;NULL;
22.09.2017;SKU0016;8; 18.266 ;NULL;
23.09.2017;SKU0016;8; 9.160 ;NULL;
24.09.2017;SKU0016;8; 2.429 ;NULL;
25.09.2017;SKU0016;8; 16.949 ;2;
26.09.2017;SKU0016;8; 18.040 ;NULL;
27.09.2017;SKU0016;8; 10.952 ;NULL;
28.09.2017;SKU0016;8; 9.260 ;NULL;
29.09.2017;SKU0016;8; 9.405 ;NULL;
30.09.2017;SKU0016;8; 4.500 ;NULL;
1.10.2017;SKU0016;8; 3.611 ;NULL;
2.10.2017;SKU0016;8; 9.800 ;NULL;
3.10.2017;SKU0016;8; 11.763 ;NULL;
4.10.2017;SKU0016;8; 12.532 ;NULL;
5.10.2017;SKU0016;8; 23.033 ;NULL;
6.10.2017;SKU0016;8; 11.793 ;NULL;
7.10.2017;SKU0016;8; 4.350 ;NULL;
8.10.2017;SKU0016;8; 1.906 ;NULL;
